estimator,estimate,se,lower,upper,rep,truth
TMLE,0.06960386636267843,0.006728990189570478,0.05641528783476712,0.08279244489058975,27,0.06088195726098464
Naive comparison,0.09834563642546322,0.004660588210233742,0.08921105131458065,0.10748022153634579,28,0.06088195726098464
Outcome regression,0.05573019198018892,,,,28,0.06088195726098464
IPW,0.06508584170327861,0.006586700205121368,0.05217614642244811,0.0779955369841091,28,0.06088195726098464
AIPW,0.06214439152896749,0.006468619999461775,0.04946612920034239,0.07482265385759258,28,0.06088195726098464
TMLE,0.062372893921630805,0.006465270117979228,0.04970119724011576,0.07504459060314585,28,0.06088195726098464
Naive comparison,0.09855025876526746,0.004626875234363489,0.08948174987342346,0.10761876765711147,29,0.06088195726098464
Outcome regression,0.0626627069713109,,,,29,0.06088195726098464
IPW,0.06963378195158361,0.006040860197164685,0.05779391343610792,0.08147365046705929,29,0.06088195726098464
AIPW,0.06851660878243626,0.005938833372105689,0.056876709171110505,0.08015650839376201,29,0.06088195726098464
TMLE,0.06851478780115507,0.005932808781818658,0.056886696169906645,0.08014287943240349,29,0.06088195726098464
Naive comparison,0.10034522295354392,0.004687923671933781,0.0911570613218059,0.10953338458528195,30,0.06088195726098464
Outcome regression,0.05187417600751369,,,,30,0.06088195726098464
IPW,0.0551395674529295,0.008040902519774984,0.03937968798666124,0.07089944691919775,30,0.06088195726098464
AIPW,0.054880934672091514,0.007495833137612589,0.0401893715723638,0.06957249777181923,30,0.06088195726098464
TMLE,0.05474693438978769,0.00762685627392728,0.039798570659716086,0.0696952981198593,30,0.06088195726098464
Naive comparison,0.10694760019324576,0.004665621393244784,0.09780315022485614,0.11609205016163537,31,0.06088195726098464
Outcome regression,0.06685990937762508,,,,31,0.06088195726098464
IPW,0.07614192581177748,0.006874177685552259,0.06266878501849173,0.08961506660506323,31,0.06088195726098464
AIPW,0.0756384131394991,0.006869793035648334,0.06217386610217764,0.08910296017682054,31,0.06088195726098464
TMLE,0.07532099298183721,0.00686588102167957,0.06186411335106203,0.08877787261261239,31,0.06088195726098464
Naive comparison,0.09902638171527542,0.004645341079023592,0.08992168043266802,0.10813108299788282,32,0.06088195726098464
Outcome regression,0.06576012023995284,,,,32,0.06088195726098464
IPW,0.07461686996385794,0.007521994356868738,0.05987403181619206,0.08935970811152383,32,0.06088195726098464
AIPW,0.0745727201269894,0.0075082418241891715,0.059856836448284295,0.0892886038056945,32,0.06088195726098464
TMLE,0.07391384956068582,0.007634992663102484,0.058949538800740824,0.08887816032063081,32,0.06088195726098464
